.,,,,,,,,,,,,,,,,
202.72.194.0/24,,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,
,,2,,3,,4,,5,,6,,7,,8,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,
idle yee,,0,3,0,,0,,0,,0,,0,,0,,
idle yee,,4,7,,7,,,,,,,,,,,B
idle yee,,8,11,8,,,,,,,,,,,,
idle yee,,12,15,,15,,15,,,,,,,,,
idle ya ges ya,,16,19,16,,16,,,,,,,,,,
idle ya ges ya,,20,23,,23,,,,,,,,,,,
idle yee,,24,27,24,,,,,,,,,,,,
idle yee,,28,31,,31,,31,,31,,,,,,,
idle yee,,32,35,32,,32,,32,,,,,,,,
idle yee,,36,39,,39,,,,,,,,,,,
idle yee,,40,43,40,,,,,,,,,,,,
,,44,47,,47,,47,,,,,,,,,
idle yee,,48,51,48,,48,,,,,,,,,,
idle yee,,52,55,,55,,,,,,,,,,,
idle yee,,56,59,56,,,,,,,,,,,,
idle yee,,60,63,,63,,63,,63,,63,,,,,
idle yee,,64,67,64,,64,,64,,64,,,,,,
idle yee,,68,71,,71,,,,,,,,,,,
idle yee,,72,75,72,,,,,,,,,,,,
idle yee,,76,79,,79,,79,,,,,,,,,
idle yee,,80,83,80,,80,,,,,,,,,,
idle yee,,84,87,,87,,,,,,,,,,,
idle yee,,88,91,88,,,,,,,,,,,,
idle yee,,92,95,,95,,95,,95,,,,,,,
idle yee,,96,99,96,,96,,96,,,,,,,,
idle yee,,100,103,,103,,,,,,,,,,,
idle yee,,104,107,104,,,,,,,,,,,,
idle yee,,108,111,,111,,111,,,,,,,,,
idle yee,,112,115,112,,112,,,,,,,,,,
idle ya ges ya,,116,119,,119,,,,,,,,,,,
idle yee,,120,123,120,,,,,,,,,,,,
idle yee,,124,127,,127,,127,,127,,127,,127,,,
,,128,131,128,,128,,128,,128,,128,,,,
,,132,135,,135,,,,,,,,,,,
idle yee,,136,139,136,,,,,,,,,,,,
idle yee,,140,143,,143,,143,,,,,,,,,
idle yee,,144,147,144,,144,,,,,,,,,,
idle yee,,148,151,,151,,,,,,,,,,,
idle ya ges ya,,152,155,152,,,,,,,,,,,,
idle yee,,156,159,,159,,159,,159,,,,,,,
idle yee,,160,163,160,,160,,160,,,,,,,,
idle yee,,164,167,,167,,,,,,,,,,,
idle yee,,168,171,168,,,,,,,,,,,,
idle yee,,172,175,,175,,175,,,,,,,,,
idle yee,,176,179,176,,176,,,,,,,,,,
idle yee,,180,183,,183,,,,,,,,,,,
idle yee,,184,187,184,,,,,,,,,,,,
idle yee,,188,191,,191,,191,,191,,191,,,,,
idle yee,,192,195,192,,192,,192,,192,,,,,,
idle yee,,196,199,,199,,,,,,,,,,,
,,200,203,200,,,,,,,,,,,,
idle yee,,204,207,,207,,207,,,,,,,,,
idle yee,,208,211,208,,208,,,,,,,,,,
,,212,215,,215,,,,,,,,,,,
,,216,219,216,,,,,,,,,,,,
,,220,223,,223,,223,,223,,,,,,,
idle yee,,224,227,224,,224,,224,,,,,,,,
,,228,231,,231,,,,,,,,,,,
idle yee,,232,235,232,,,,,,,,,,,,
idle yee,,236,239,,239,,239,,,,,,,,,
idle yee,,240,243,240,,240,,,,,,,,,,
idle yee,,244,245,,247,,,,,,,,,,,
idle yee,,246,247,,,,,,,,,,,,,
idle yee,,248,251,248,,,,,,,,,,,,
,,252,253,,,,,,,,,,,,,
,,254,255,,255,,255,,255,,255,,255,,255,
,,,,,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255
